 School Information ,,,,,,,State English Learners,,Students with Disabilities,,Economically Disadvantaged,
School ID, School Name , Network ,Governance,School Type,Community Area,Total,N,%,N,%,N,%
400009,GLOBAL CITIZENSHIP,Charter,Charter,Traditional,GARFIELD RIDGE,489,163,33.3%,73,14.9%,288,58.9%
400011,LOCKE A,Charter,Charter,Traditional,EAST GARFIELD PARK,348,0,0.0%,46,13.2%,275,79.0%
400013,ASPIRA - EARLY COLLEGE HS,Charter,Charter,Traditional,AVONDALE,279,177,63.4%,41,14.7%,244,87.5%
400017,ASPIRA - HAUGAN,Charter,Charter,Traditional,ALBANY PARK,83,58,69.9%,6,7.2%,71,85.5%
400021,CATALYST - CIRCLE ROCK,Charter,Charter,Traditional,AUSTIN,522,0,0.0%,64,12.3%,440,84.3%
400022,CHIARTS HS,Contract,Contract,Traditional,WEST TOWN,577,50,8.7%,79,13.7%,354,61.4%
400023,CICS - AVALON/SOUTH SHORE,Charter,Charter,Traditional,AVALON PARK,476,6,1.3%,64,13.4%,406,85.3%
400024,CICS - BASIL,Charter,Charter,Traditional,NEW CITY,548,84,15.3%,71,13.0%,454,82.8%
400025,CICS - BUCKTOWN,Charter,Charter,Traditional,LOGAN SQUARE,521,103,19.8%,98,18.8%,336,64.5%
400026,CICS - LOOMIS,Charter,Charter,Traditional,WASHINGTON HEIGHTS,339,1,0.3%,25,7.4%,208,61.4%
400027,CICS - IRVING PARK,Charter,Charter,Traditional,IRVING PARK,454,168,37.0%,66,14.5%,302,66.5%
400028,CICS - PRAIRIE,Charter,Charter,Traditional,WEST PULLMAN,413,93,22.5%,68,16.5%,356,86.2%
400029,CICS - WASHINGTON PARK,Charter,Charter,Traditional,WASHINGTON PARK,493,6,1.2%,65,13.2%,407,82.6%
400030,CICS - WEST BELDEN,Charter,Charter,Traditional,BELMONT CRAGIN,524,251,47.9%,80,15.3%,422,80.5%
400031,CICS - WRIGHTWOOD,Charter,Charter,Traditional,ASHBURN,615,2,0.3%,64,10.4%,500,81.3%
400032,CICS - ELLISON HS,Charter,Charter,Traditional,AUBURN GRESHAM,229,2,0.9%,46,20.1%,206,90.0%
400033,CICS - LONGWOOD,Charter,Charter,Traditional,WASHINGTON HEIGHTS,"1,113",11,1.0%,195,17.5%,"1,015",91.2%
400034,CICS - NORTHTOWN HS,Charter,Charter,Traditional,NORTH PARK,872,381,43.7%,176,20.2%,728,83.5%
400035,CHICAGO MATH & SCIENCE HS,Charter,Charter,Traditional,ROGERS PARK,617,261,42.3%,61,9.9%,541,87.7%
400039,ERIE,Charter,Charter,Traditional,WEST TOWN,404,170,42.1%,58,14.4%,341,84.4%
400044,KIPP - ASCEND,Charter,Charter,Traditional,NORTH LAWNDALE,903,51,5.6%,118,13.1%,779,86.3%
400046,LEARN - BUTLER,Charter,Charter,Traditional,NORTH LAWNDALE,481,1,0.2%,48,10.0%,420,87.3%
400047,LEARN - CAMPBELL,Charter,Charter,Traditional,EAST GARFIELD PARK,358,4,1.1%,51,14.2%,295,82.4%
400048,LEARN - EXCEL,Charter,Charter,Traditional,EAST GARFIELD PARK,384,3,0.8%,39,10.2%,294,76.6%
400049,LEGACY,Charter,Charter,Traditional,NORTH LAWNDALE,465,4,0.9%,77,16.6%,401,86.2%
400050,NAMASTE,Charter,Charter,Traditional,MCKINLEY PARK,369,183,49.6%,88,23.8%,280,75.9%
400051,NOBLE - NOBLE HS,Charter,Charter,Traditional,WEST TOWN,685,194,28.3%,92,13.4%,558,81.5%
400052,NOBLE - COMER,Charter,Charter,Traditional,GREATER GRAND CROSSING,"1,005",16,1.6%,165,16.4%,912,90.7%
400053,NOBLE - GOLDER HS,Charter,Charter,Traditional,WEST TOWN,643,225,35.0%,86,13.4%,586,91.1%
400054,NOBLE - PRITZKER HS,Charter,Charter,Traditional,HERMOSA,989,427,43.2%,117,11.8%,922,93.2%
400055,NOBLE - RAUNER HS,Charter,Charter,Traditional,WEST TOWN,556,157,28.2%,84,15.1%,453,81.5%
400056,NOBLE - ROWE CLARK HS,Charter,Charter,Traditional,HUMBOLDT PARK,311,25,8.0%,71,22.8%,302,97.1%
400057,NOBLE - UIC HS,Charter,Charter,Traditional,NEAR WEST SIDE,949,166,17.5%,124,13.1%,828,87.2%
400058,NLCP - CHRISTIANA HS,Charter,Charter,Traditional,NORTH LAWNDALE,251,1,0.4%,69,27.5%,247,98.4%
400059,NLCP - COLLINS HS,Charter,Charter,Traditional,NORTH LAWNDALE,268,1,0.4%,45,16.8%,262,97.8%
400060,AHS - PASSAGES,Charter,Charter,Traditional,EDGEWATER,385,271,70.4%,37,9.6%,271,70.4%
400061,PERSPECTIVES - LEADERSHIP HS,Charter,Charter,Traditional,CHATHAM,821,3,0.4%,111,13.5%,760,92.6%
400062,PERSPECTIVES - TECH HS,Charter,Charter,Traditional,CHATHAM,312,1,0.3%,49,15.7%,281,90.1%
400064,PERSPECTIVES - JOSLIN HS,Charter,Charter,Traditional,NEAR SOUTH SIDE,317,4,1.3%,65,20.5%,294,92.7%
400066,PERSPECTIVES - MATH & SCI HS,Charter,Charter,Traditional,DOUGLAS,394,1,0.3%,56,14.2%,375,95.2%
