"College Enrollment and Persistence
by School for Class of 2010 - 2023",,,Class of 2023,,,Class of 2022,,,,,Class of 2021,,,,
School ID,"Annualized
School Name",status,Graduates,Enrollments,"Enrollment
Pct",Graduates,Enrollments,"Enrollment
Pct","# of
Enrollments
Persisting",Persistence_Pct2024,Graduates,Enrollments,"Enrollment
Pct","# of
Enrollments
Persisting","Persistence
Pct"
400013,"ASPIRA - EARLY
COLLEGE HS",,69,34,49.3,77,32,41.6,19,59.4,50,20,40,14,70
400022,CHIARTS HS,,126,106,84.1,133,107,80.5,90,84.1,125,93,74.4,79,84.9
400032,"CICS - ELLISON
HS",,24,9,37.5,42,20,47.6,8,40,64,18,28.1,8,44.4
400033,"CICS -
LONGWOOD",,77,25,32.5,89,33,37.1,21,63.6,91,36,39.6,18,50
400034,"CICS -
NORTHTOWN HS",,202,152,75.2,219,157,71.7,117,74.5,223,159,71.3,125,78.6
400035,"CHICAGO MATH &
SCIENCE HS",,78,54,69.2,82,57,69.5,47,82.5,86,65,75.6,52,80
400051,"NOBLE - NOBLE
HS",,151,125,82.8,155,135,87.1,91,67.4,165,130,78.8,101,77.7
400052,NOBLE - COMER,,185,137,74.1,191,120,62.8,66,55,194,133,68.6,67,50.4
400053,"NOBLE - GOLDER
HS",,150,114,76,160,103,64.4,69,67,156,102,65.4,72,70.6
400054,"NOBLE -
PRITZKER HS",,234,205,87.6,213,178,83.6,124,69.7,219,159,72.6,108,67.9
400055,"NOBLE - RAUNER
HS",,149,120,80.5,128,102,79.7,63,61.8,178,132,74.2,82,62.1
400056,"NOBLE - ROWE
CLARK HS",,83,46,55.4,96,44,45.8,24,54.5,103,39,37.9,20,51.3
400057,NOBLE - UIC HS,,213,178,83.6,237,172,72.6,118,68.6,214,165,77.1,118,71.5
400058,"NLCP -
CHRISTIANA HS",,65,32,49.2,78,46,59,28,60.9,81,40,49.4,18,45
400059,"NLCP - COLLINS
HS",,90,42,46.7,98,50,51,26,52,83,34,41,17,50
400061,"PERSPECTIVES -
LEADERSHIP HS",,80,38,47.5,73,31,42.5,21,67.7,60,26,43.3,11,42.3
400062,"PERSPECTIVES -
TECH HS",,53,28,52.8,68,30,44.1,20,66.7,91,41,45.1,18,43.9
400064,"PERSPECTIVES -
JOSLIN HS",,59,45,76.3,67,30,44.8,15,50,79,45,57,24,53.3
400066,"PERSPECTIVES -
MATH & SCI HS",,66,35,53,103,48,46.6,17,35.4,91,31,34.1,15,48.4
400077,"U OF C -
WOODLAWN HS",,53,41,77.4,92,72,78.3,49,68.1,90,62,68.9,40,64.5
400085,"ACERO - GARCIA
HS",,154,90,58.4,137,81,59.1,61,75.3,124,78,62.9,56,71.8
400086,"URBAN PREP -
ENGLEWOOD HS",,37,24,64.9,56,35,62.5,20,57.1,48,23,47.9,15,65.2
400091,"CHICAGO TECH
HS",,77,33,42.9,86,43,50,13,30.2,59,23,39,10,43.5
400094,EPIC HS,,89,36,40.4,108,45,41.7,28,62.2,108,44,40.7,27,61.4
400097,"NOBLE - BULLS
HS",,291,236,81.1,241,188,78,118,62.8,248,183,73.8,124,67.8
400098,"NOBLE - MUCHIN
HS",,212,177,83.5,251,171,68.1,117,68.4,213,164,77,119,72.6
400104,"INSTITUTO -
HEALTH",,114,55,48.2,155,45,29,28,62.2,176,59,33.5,39,66.1
