School_ID,Short_Name,Long_Name,School_Type,Primary_Category,Address,City,State,Zip,Phone,Progress_Report_Year,Blue_Ribbon_Award_Year,Excelerate_Award_Gold_Year,Spot_Light_Award_Year,Improvement_Award_Year,Excellence_Award_Year,Student_Attainment_Rating,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Student_Response_Rate_Avg_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Avg_Pct,School_Survey_Parent_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Avg_Pct,Creative_School_Certification,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Misconducts_To_Suspensions_Year_1_Pct,Misconducts_To_Suspensions_Year_2_Pct,Average_Length_Suspension_Year_1_Pct,Average_Length_Suspension_Year_2_Pct,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Student_Attendance_Avg_Pct,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,One_Year_Dropout_Rate_Avg_Pct,Freshmen_On_Track_School_Pct_Year_2,Freshmen_On_Track_CPS_Pct_Year_2,Freshmen_On_Track_School_Pct_Year_1,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_School_Pct_Year_2,Graduation_4_Year_CPS_Pct_Year_2,Graduation_4_Year_School_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,Graduation_5_Year_School_Pct_Year_2,Graduation_5_Year_CPS_Pct_Year_2,Graduation_5_Year_School_Pct_Year_1,Graduation_5_Year_CPS_Pct_Year_1,College_Enrollment_School_Pct_Year_2,College_Enrollment_CPS_Pct_Year_2,College_Enrollment_School_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,College_Persistence_School_Pct_Year_2,College_Persistence_CPS_Pct_Year_2,College_Persistence_School_Pct_Year_1,College_Persistence_CPS_Pct_Year_1,Mobility_Rate_Pct,Chronic_Truancy_Pct,Empty_Progress_Report_Message,Supportive_School_Award,Parent_Survey_Results_Year,School_Latitude,School_Longitude,PSAT_Grade_9_Score_School_Avg,PSAT_Grade_10_Score_School_Avg,SAT_Grade_11_Score_School_Avg,SAT_Grade_11_Score_CPS_Avg,Attainment_PSAT_Grade_9_School_Pct,Attainment_PSAT_Grade_9_School_Lbl,Attainment_PSAT_Grade_10_School_Pct,Attainment_PSAT_Grade_10_School_Lbl,Attainment_SAT_Grade_11_School_Pct,Attainment_SAT_Grade_11_School_Lbl,Attainment_All_Grades_School_Pct,Attainment_All_Grades_School_Lbl
610125,RUIZ,Irma C Ruiz Elementary School,Neighborhood,ES,2410 S LEAVITT ST,Chicago,Illinois,60608,773-535-4825,2022,,2022,,,,NO DATA AVAILABLE,ORGANIZED,88.3,73,74.1,71,,,STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,,1.3,,9.1,,1.3 days,93.5,88.6,86.9,89.4,91.2,,,,,,,,,,,,,,,,,,,,,,,,8,46.7,,EMERGING,2022,41.848101,-87.680745,,,0,939,0,0,0,0,0,0,0,0
609728,ROOSEVELT HS,Theodore Roosevelt High School,Neighborhood,HS,3436 W WILSON AVE,Chicago,Illinois,60625,773-534-5000,2022,,,,,,FAR BELOW EXPECTATIONS,WELL ORGANIZED,75,73,68.9,71,,,EXCELLING,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,,4.7,,6.9,,1.9 days,82.8,79.2,86.9,85.8,92.3,2.1,4.6,6.1,81.3,88.8,81.6,86.7,73,82.9,75.5,80.2,79,84,78,83.8,51.7,61.8,57.4,61.9,61.1,71.2,59.4,71.7,17.1,66.6,,EMERGING,2022,41.964828,-87.714819,,,850,939,29.2,29.2,11.8,11.8,9.9,9.9,17.1,17.1
610040,LLOYD,Henry D Lloyd Elementary School,Neighborhood,ES,2103 N LAMON AVE,Chicago,Illinois,60639,773-534-3070,2022,,2022,,,,NO DATA AVAILABLE,ORGANIZED,86.8,73,90.1,71,,,DEVELOPING,NEUTRAL,NEUTRAL,STRONG,STRONG,NEUTRAL,WEAK,,,,,,,94,89.2,86.9,93.9,93.7,,,,,,,,,,,,,,,,,,,,,,,,11.1,43.5,,EMERGING,2022,41.918814,-87.748515,,,0,939,0,0,0,0,0,0,0,0
609983,HEDGES,James Hedges Elementary School,Neighborhood,ES,4747 S WINCHESTER AVE,Chicago,Illinois,60609,773-535-7360,2022,,2022,,,,NO DATA AVAILABLE,NOT YET ORGANIZED,88.1,73,58.8,71,,,EXCELLING,WEAK,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,,0.6,,5.9,,1.7 days,90.7,88.3,86.9,88.6,92.5,,,,,,,,,,,,,,,,,,,,,,,,12.2,44.6,,EMERGING,2022,41.807112,-87.673327,,,0,939,0,0,0,0,0,0,0,0
610225,WHISTLER,John Whistler Elementary School,Neighborhood,ES,11533 S ADA ST,Chicago,Illinois,60643,773-535-5560,2022,,,,,,NO DATA AVAILABLE,NOT ENOUGH DATA,1.4,73,32.4,71,,,INCOMPLETE DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,,,,90.8,84.7,86.9,87.4,94.4,,,,,,,,,,,,,,,,,,,,,,,,13.4,54.5,,ESTABLISHED,2022,41.683907,-87.655384,,,0,939,0,0,0,0,0,0,0,0
610016,KELLOGG,Kate S Kellogg Elementary School,Neighborhood,ES,9241 S LEAVITT ST,Chicago,Illinois,60643,773-535-2590,2022,,,2012,,,NO DATA AVAILABLE,PARTIALLY ORGANIZED,61,73,39.4,71,,,STRONG,NOT ENOUGH DATA,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,,0.4,,20,,5.0 days,97,94.2,86.9,90.1,92.8,,,,,,,,,,,,,,,,,,,,,,,,4.2,14,,ESTABLISHED,2022,41.725263,-87.677233,,,0,939,0,0,0,0,0,0,0,0
610081,SHERIDAN,Mark Sheridan Math & Science Academy,Magnet,ES,533 W 27TH ST,Chicago,Illinois,60616,773-534-9120,2022,,,2013,,,NO DATA AVAILABLE,MODERATELY ORGANIZED,95.5,73,54.8,71,,,EXCELLING,STRONG,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,WEAK,,,,,,,98.1,94.6,86.9,90.6,94.2,,,,,,,,,,,,,,,,,,,,,,,,1.9,11.4,,EMERGING,2022,41.8444,-87.64134,,,0,939,0,0,0,0,0,0,0,0
610073,MITCHELL,Ellen Mitchell Elementary School,Neighborhood,ES,2233 W OHIO ST,Chicago,Illinois,60612,773-534-7655,2022,,2022,,,,NO DATA AVAILABLE,WELL ORGANIZED,79.5,73,73.7,71,,,STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,,0.3,,25,,1.0 days,96.9,92.1,86.9,91.9,92.2,,,,,,,,,,,,,,,,,,,,,,,,5.5,23.3,,ESTABLISHED,2022,41.892082,-87.683185,,,0,939,0,0,0,0,0,0,0,0
609839,CARROLL,Carroll-Rosenwald Specialty Elementary School,Neighborhood,ES,2929 W 83RD ST,Chicago,Illinois,60652,773-535-9414,2022,,,,,,NO DATA AVAILABLE,PARTIALLY ORGANIZED,54,73,57.9,71,,,INCOMPLETE DATA,WEAK,STRONG,VERY STRONG,WEAK,WEAK,STRONG,,12.8,,27.8,,1.5 days,91.3,89.8,86.9,84.7,92.2,,,,,,,,,,,,,,,,,,,,,,,,14.5,36.8,,EMERGING,2022,41.742517,-87.696012,,,0,939,0,0,0,0,0,0,0,0
400112,ACERO - IDAR,Acero Charter Schools - Jovita Idar,Charter,ES,5050 S HOMAN AVE,Chicago,Illinois,60632,312-455-5450,2022,,,,,,NO DATA AVAILABLE,PARTIALLY ORGANIZED,87.4,73,81.8,71,,,EXCELLING,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,VERY WEAK,NEUTRAL,,,,,,,96.2,93,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,,EMERGING,2022,41.801042,-87.708797,,,0,939,0,0,0,0,0,0,0,0
610380,WILLIAMS HS,Daniel Hale Williams Prep School of Medicine,Small,HS,4934 S WABASH AVE,Chicago,Illinois,60615,773-535-1120,2022,,,,,,FAR BELOW EXPECTATIONS,WELL ORGANIZED,89.8,73,99.9,71,,,STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,WEAK,,3.4,,11.8,,2.5 days,79,80.8,86.9,89.1,93.1,0.9,7.7,6.1,,,76.2,86.7,75,82.9,70.6,80.2,79.7,84,89.8,83.8,61.5,61.8,75,61.9,52.4,71.2,51.4,71.7,,71.4,,EMERGING,2022,41.806118,-87.62503,,,775,939,0,0,0,0,6.7,6.7,2.6,2.6
610130,PIRIE,John T Pirie Fine Arts & Academic Center ES,Neighborhood,ES,650 E 85TH ST,Chicago,Illinois,60619,773-535-3435,2022,,,,,,NO DATA AVAILABLE,ORGANIZED,97.5,73,50,71,,,STRONG,NOT ENOUGH DATA,VERY STRONG,VERY STRONG,NEUTRAL,WEAK,STRONG,,0.9,,8,,1.5 days,85.1,85.6,86.9,84.8,92.3,,,,,,,,,,,,,,,,,,,,,,,,20.1,53.9,,EMERGING,2022,41.74034,-87.607891,,,0,939,0,0,0,0,0,0,0,0
610212,ALBANY PARK,Albany Park Multicultural Academy,Neighborhood,MS,4929 N SAWYER AVE,Chicago,Illinois,60625,773-534-5108,2022,,,,,,NO DATA AVAILABLE,WELL ORGANIZED,92.2,73,86.4,71,,,EXCELLING,STRONG,NEUTRAL,STRONG,VERY STRONG,VERY STRONG,WEAK,,0.8,,3.6,,1.0 days,94.8,93.1,86.9,90.1,92,,,,,,,,,,,,,,,,,,,,,,,,7.1,22.4,,EXEMPLARY,2022,41.971504,-87.710609,,,0,939,0,0,0,0,0,0,0,0
609704,FARRAGUT HS,David G Farragut Career Academy High School,Neighborhood,HS,2345 S CHRISTIANA AVE,Chicago,Illinois,60623,773-534-1300,2022,,,,,,FAR BELOW EXPECTATIONS,NOT YET ORGANIZED,51.5,73,67.7,71,,,STRONG,WEAK,NEUTRAL,NEUTRAL,WEAK,WEAK,VERY WEAK,,21.2,,20.9,,1.8 days,70.3,70.3,86.9,80.2,89.9,6.7,4.8,6.1,81.7,88.8,89,86.7,74.8,82.9,64.2,80.2,70.7,84,65.9,83.8,53.7,61.8,45.2,61.9,50,71.2,54.9,71.7,20.6,80.3,,ESTABLISHED,2022,41.84856,-87.708706,,,852,939,19.7,19.7,9.8,9.8,9.8,9.8,13.1,13.1
610022,KILMER,Joyce Kilmer Elementary School,Neighborhood,ES,6700 N GREENVIEW AVE,Chicago,Illinois,60626,773-534-2115,2022,,2022,,,,NO DATA AVAILABLE,MODERATELY ORGANIZED,70.9,73,53.5,71,,,EXCELLING,NEUTRAL,VERY STRONG,VERY STRONG,WEAK,WEAK,STRONG,,,,,,,94.2,91.2,86.9,91.2,92.2,,,,,,,,,,,,,,,,,,,,,,,,12.2,29.4,,EMERGING,2022,42.00364,-87.668222,,,0,939,0,0,0,0,0,0,0,0
609918,FIELD,Eugene Field Elementary School,Neighborhood,ES,7019 N ASHLAND AVE,Chicago,Illinois,60626,773-534-2030,2022,,,,,,NO DATA AVAILABLE,PARTIALLY ORGANIZED,96.5,73,77.8,71,,,EXCELLING,NOT ENOUGH DATA,WEAK,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,VERY WEAK,,,,,,,96.1,91,86.9,92.1,92.9,,,,,,,,,,,,,,,,,,,,,,,,14.2,29.6,,ESTABLISHED,2022,42.009664,-87.669985,,,0,939,0,0,0,0,0,0,0,0
609954,GREGORY,John Milton Gregory Elementary School,Neighborhood,ES,3715 W POLK ST,Chicago,Illinois,60624,773-534-6820,2022,,,,2013,,NO DATA AVAILABLE,NOT YET ORGANIZED,62,73,76.5,71,,,EMERGING,VERY WEAK,WEAK,WEAK,NEUTRAL,WEAK,VERY WEAK,,3.9,,35.5,,2.6 days,89.3,89.4,86.9,86.5,91.3,,,,,,,,,,,,,,,,,,,,,,,,26.4,40.6,,EMERGING,2022,41.870742,-87.718666,,,0,939,0,0,0,0,0,0,0,0
